lane,metric,target,value,unit
1,cold_start_open_plus_select_1,leap-c,0.004504,s
1,cold_start_open_plus_select_1,leap-rust,0.008106,s
1,cold_start_open_plus_select_1,mainline,0.007613,s
2,parse_heavy_5000_inserts,leap-c,0.007810,s
2,parse_heavy_5000_inserts,leap-rust,0.024482,s
2,parse_heavy_5000_inserts,mainline,0.011855,s
3,full_scan_10k_rows,leap-c,0.007576,s
3,full_scan_10k_rows,leap-rust,0.005072,s
3,full_scan_10k_rows,mainline,0.008506,s
4,10k_inserts_single_writer,leap-c,0.011385,s
4,10k_inserts_single_writer,leap-rust,0.030692,s
4,10k_inserts_single_writer,mainline,0.015192,s
5,binary_size,leap-c-cli,113248,bytes
5,binary_size,leap-rust-cli,503872,bytes
5,binary_size,leap-rust-wasm,113785,bytes
5,binary_size,mainline-sqlite3,1809536,bytes
6,peak_rss_small_db_open_plus_select,leap-c,1540096,bytes
6,peak_rss_small_db_open_plus_select,leap-rust,1671168,bytes
6,peak_rss_small_db_open_plus_select,mainline,3735552,bytes
