lane,metric,target,value,unit
1,cold_start_open_plus_select_1,leap-c,0.003829,s
1,cold_start_open_plus_select_1,leap-rust,0.008667,s
1,cold_start_open_plus_select_1,mainline,0.008181,s
2,parse_heavy_5000_inserts,leap-c,0.008543,s
2,parse_heavy_5000_inserts,leap-rust,0.026455,s
2,parse_heavy_5000_inserts,mainline,0.011706,s
3,full_scan_10k_rows,leap-c,0.007813,s
3,full_scan_10k_rows,leap-rust,0.004984,s
3,full_scan_10k_rows,mainline,0.008254,s
4,10k_inserts_single_writer,leap-c,0.011593,s
4,10k_inserts_single_writer,leap-rust,0.033693,s
4,10k_inserts_single_writer,mainline,0.015203,s
5,binary_size,leap-c-cli,113248,bytes
5,binary_size,leap-rust-cli,502288,bytes
5,binary_size,leap-rust-wasm,109657,bytes
5,binary_size,mainline-sqlite3,1809536,bytes
6,peak_rss_small_db_open_plus_select,leap-c,1540096,bytes
6,peak_rss_small_db_open_plus_select,leap-rust,1687552,bytes
6,peak_rss_small_db_open_plus_select,mainline,3784704,bytes
